414, 231
435, 231
435, 214
600, 214
600, 201
694, 201
694, 196
600, 196
600, 190
606, 190
606, 169
750, 169
750, 86
901, 86
901, 169
919, 169
919, 163
934, 163
934, 99
944, 99
944, 163
945, 163
945, 169
954, 169
954, 166
971, 166
971, 155
981, 155
981, 166
987, 166
987, 105
1068, 105
1068, 96
1073, 96
1073, 57
1055, 57
1055, 51
1073, 51
1073, 29
1067, 29
1067, 28
1073, 28
1073, 19
1066, 19
1066, -26
1058, -26
1058, -46
1066, -46
1066, -107
1064, -107
1064, -144
1020, -144
1020, -83
1013, -83
1013, -144
966, -144
966, -160
955, -160
955, -180
861, -180
861, -80
853, -80
853, -146
837, -146
837, -158
853, -158
853, -180
817, -180
817, -209
570, -209
570, -199
543, -199
543, -185
517, -185
517, -96
460, -96
460, -140
415, -140
415, -158
460, -158
460, -173
455, -173
455, -176
460, -176
460, -185
376, -185
376, -178
343, -178
343, -159
341, -159
341, -124
319, -124
319, -159
264, -159
264, -178
213, -178
213, -123
203, -123
203, -178
180, -178
180, -176
119, -176
119, -163
112, -163
112, -99
111, -99
111, -163
110, -163
110, -116
101, -116
101, -163
39, -163
39, -148
12, -148
12, -120
0, -120
0, -105
42, -105
42, -97
55, -97
55, -105
61, -105
61, 26
26, 26
26, -3
18, -3
18, 26
0, 26
0, 47
26, 47
26, 80
0, 80
0, 93
87, 93
87, 108
111, 108
111, 138
171, 138
171, 160
187, 160
187, 215
191, 215
191, 238
187, 238
187, 248
220, 248
220, 224
273, 224
273, 220
265, 220
265, 209
273, 209
273, 190
220, 190
220, 122
356, 122
356, 248
397, 248
397, 82
409, 82
409, 248
414, 248
414, 231
